"species_1","cluster_1","cluster_1_accession","species_2","cluster_2","cluster_2_accession","dist","similarity"
"marmoset","Exc RORB NDST3","CS201912132_56","mouse","L2/3 IT_1","CS202002013_58",3.63644090700114,0.897401269897736
"marmoset","Exc RORB SERPINE2","CS201912132_55","mouse","L2/3 IT_1","CS202002013_58",4.08981816743637,0.876428171886278
"marmoset","Exc RORB LOC108588466","CS201912132_54","mouse","L2/3 IT_1","CS202002013_58",4.22209155645902,0.870309244021178
"marmoset","Exc THEMIS ANO3","CS201912132_53","mouse","L2/3 IT_1","CS202002013_58",5.12560573996314,0.828512945046714
"marmoset","Exc RORB CAV3","CS201912132_58","mouse","L2/3 IT_1","CS202002013_58",6.01661165443468,0.787295274899206
"marmoset","Exc RORB KNL1","CS201912132_57","mouse","L2/3 IT_1","CS202002013_58",6.18002533395264,0.77973580640347
"marmoset","Exc THEMIS COBL","CS201912132_60","mouse","L2/3 IT_1","CS202002013_58",7.34938897128902,0.725641390302081
"marmoset","Exc THEMIS KCTD16","CS201912132_59","mouse","L2/3 IT_1","CS202002013_58",9.0635557559128,0.646344541696599
"marmoset","Exc RORB LOC108593203","CS201912132_61","mouse","L2/3 IT_1","CS202002013_58",10.4904768355918,0.580335594467984
"marmoset","Exc RORB USH1C","CS201912132_64","mouse","L2/3 IT_1","CS202002013_58",10.8426545287461,0.564043958515878
"marmoset","Exc RORB ANKRD27","CS201912132_62","mouse","L2/3 IT_1","CS202002013_58",11.2494206816779,0.545227076555382
"marmoset","Exc RORB HACL1","CS201912132_68","mouse","L2/3 IT_1","CS202002013_58",11.4229206659128,0.537201018585797
"marmoset","Exc RORB ACTA2","CS201912132_63","mouse","L2/3 IT_1","CS202002013_58",12.5509843140249,0.485017127774189
"marmoset","Exc RORB CHGA","CS201912132_67","mouse","L2/3 IT_1","CS202002013_58",12.5982379238565,0.482831189755502
"marmoset","Exc RORB PPA2","CS201912132_66","mouse","L2/3 IT_1","CS202002013_58",12.7042688506233,0.477926230434889
"marmoset","Exc RORB SLC38A11","CS201912132_65","mouse","L2/3 IT_1","CS202002013_58",13.1107510938506,0.459122482053377
"marmoset","Exc FEZF2 NRP1","CS201912132_74","mouse","L2/3 IT_1","CS202002013_58",14.7238262183926,0.38450210375212
"marmoset","Exc FEZF2 RGS4","CS201912132_73","mouse","L2/3 IT_1","CS202002013_58",14.7504192413483,0.383271918373313
"marmoset","Exc FEZF2 ARSJ","CS201912132_75","mouse","L2/3 IT_1","CS202002013_58",15.6086006320547,0.343572700989503
"marmoset","Exc THEMIS NTNG2","CS201912132_76","mouse","L2/3 IT_1","CS202002013_58",15.8537750458751,0.332231005100254
"marmoset","Exc FEZF2 PDZRN4","CS201912132_72","mouse","L2/3 IT_1","CS202002013_58",15.9818535559467,0.326306131095073
"marmoset","Exc THEMIS ARL13B","CS201912132_70","mouse","L2/3 IT_1","CS202002013_58",16.717558674464,0.29227262984849
"marmoset","Exc FEZF2 CRYM","CS201912132_77","mouse","L2/3 IT_1","CS202002013_58",17.1415390903293,0.272659421174668
"marmoset","Exc FEZF2 PIEZO2","CS201912132_71","mouse","L2/3 IT_1","CS202002013_58",17.6074211908897,0.251107852956498
"marmoset","Exc THEMIS ANO3","CS201912132_53","mouse","L2/3 IT_2","CS202002013_59",2.88464462521493,0.932179143599244
"marmoset","Exc RORB SERPINE2","CS201912132_55","mouse","L2/3 IT_2","CS202002013_59",3.57771112110404,0.900118092427895
"marmoset","Exc RORB LOC108588466","CS201912132_54","mouse","L2/3 IT_2","CS202002013_59",4.48351965219438,0.858215657612493
"marmoset","Exc RORB NDST3","CS201912132_56","mouse","L2/3 IT_2","CS202002013_59",4.49106758937299,0.857866492270413
"marmoset","Exc RORB KNL1","CS201912132_57","mouse","L2/3 IT_2","CS202002013_59",6.70581668766027,0.755412853848899
"marmoset","Exc RORB CAV3","CS201912132_58","mouse","L2/3 IT_2","CS202002013_59",6.90096931677499,0.746385150929508
"marmoset","Exc THEMIS COBL","CS201912132_60","mouse","L2/3 IT_2","CS202002013_59",9.80308734274585,0.612134029157155
"marmoset","Exc THEMIS KCTD16","CS201912132_59","mouse","L2/3 IT_2","CS202002013_59",10.7801860272709,0.566933732923201
"marmoset","Exc RORB USH1C","CS201912132_64","mouse","L2/3 IT_2","CS202002013_59",11.0560019591184,0.554174569470217
"marmoset","Exc RORB LOC108593203","CS201912132_61","mouse","L2/3 IT_2","CS202002013_59",11.9098449585383,0.514676044784528
"marmoset","Exc RORB ANKRD27","CS201912132_62","mouse","L2/3 IT_2","CS202002013_59",11.9705756708281,0.511866659991085
"marmoset","Exc RORB HACL1","CS201912132_68","mouse","L2/3 IT_2","CS202002013_59",13.4352490712779,0.44411130156636
"marmoset","Exc RORB ACTA2","CS201912132_63","mouse","L2/3 IT_2","CS202002013_59",13.6661106537122,0.433431713024961
"marmoset","Exc RORB CHGA","CS201912132_67","mouse","L2/3 IT_2","CS202002013_59",14.3920077855129,0.399851926343826
"marmoset","Exc RORB PPA2","CS201912132_66","mouse","L2/3 IT_2","CS202002013_59",14.4285187544271,0.398162939717554
"marmoset","Exc RORB SLC38A11","CS201912132_65","mouse","L2/3 IT_2","CS202002013_59",14.5605014022584,0.392057461453999
"marmoset","Exc FEZF2 NRP1","CS201912132_74","mouse","L2/3 IT_2","CS202002013_59",15.9636857766261,0.327146567194527
"marmoset","Exc FEZF2 RGS4","CS201912132_73","mouse","L2/3 IT_2","CS202002013_59",16.0335357170701,0.323915329603078
"marmoset","Exc THEMIS NTNG2","CS201912132_76","mouse","L2/3 IT_2","CS202002013_59",16.59583372919,0.29790358982478
"marmoset","Exc FEZF2 PDZRN4","CS201912132_72","mouse","L2/3 IT_2","CS202002013_59",16.5985487387385,0.297777994285851
"marmoset","Exc FEZF2 ARSJ","CS201912132_75","mouse","L2/3 IT_2","CS202002013_59",16.765474072777,0.290056077690334
"marmoset","Exc THEMIS ARL13B","CS201912132_70","mouse","L2/3 IT_2","CS202002013_59",17.2334895020573,0.268405822316371
"marmoset","Exc FEZF2 PIEZO2","CS201912132_71","mouse","L2/3 IT_2","CS202002013_59",18.188284751681,0.224237276386192
"marmoset","Exc FEZF2 CRYM","CS201912132_77","mouse","L2/3 IT_2","CS202002013_59",18.1977762855045,0.223798200838009
"marmoset","Exc RORB LOC108588466","CS201912132_54","mouse","L2/3 IT_3","CS202002013_60",2.81683166012437,0.935316151313143
"marmoset","Exc RORB SERPINE2","CS201912132_55","mouse","L2/3 IT_3","CS202002013_60",3.85798463110663,0.887152722727489
"marmoset","Exc RORB NDST3","CS201912132_56","mouse","L2/3 IT_3","CS202002013_60",3.96641201400139,0.88213690405499
"marmoset","Exc RORB KNL1","CS201912132_57","mouse","L2/3 IT_3","CS202002013_60",4.33460326320121,0.865104485735165
"marmoset","Exc RORB CAV3","CS201912132_58","mouse","L2/3 IT_3","CS202002013_60",4.76241793953788,0.845313905305666
"marmoset","Exc THEMIS ANO3","CS201912132_53","mouse","L2/3 IT_3","CS202002013_60",6.01214318370159,0.787501985034064
"marmoset","Exc THEMIS COBL","CS201912132_60","mouse","L2/3 IT_3","CS202002013_60",8.60503694022609,0.667555486533717
"marmoset","Exc RORB USH1C","CS201912132_64","mouse","L2/3 IT_3","CS202002013_60",8.70403566588776,0.66297583475692
"marmoset","Exc THEMIS KCTD16","CS201912132_59","mouse","L2/3 IT_3","CS202002013_60",8.99588884378152,0.649474793043788
"marmoset","Exc RORB ANKRD27","CS201912132_62","mouse","L2/3 IT_3","CS202002013_60",9.69382593585917,0.617188429532913
"marmoset","Exc RORB LOC108593203","CS201912132_61","mouse","L2/3 IT_3","CS202002013_60",9.74760945749484,0.614700419724959
"marmoset","Exc RORB ACTA2","CS201912132_63","mouse","L2/3 IT_3","CS202002013_60",11.6014199095962,0.528943696352324
"marmoset","Exc RORB HACL1","CS201912132_68","mouse","L2/3 IT_3","CS202002013_60",11.6476023248582,0.526807311477692
"marmoset","Exc RORB PPA2","CS201912132_66","mouse","L2/3 IT_3","CS202002013_60",12.4542909946409,0.489490132138252
"marmoset","Exc RORB CHGA","CS201912132_67","mouse","L2/3 IT_3","CS202002013_60",12.4883605308578,0.487914085466666
"marmoset","Exc RORB SLC38A11","CS201912132_65","mouse","L2/3 IT_3","CS202002013_60",12.7767355894536,0.474573940523835
"marmoset","Exc FEZF2 RGS4","CS201912132_73","mouse","L2/3 IT_3","CS202002013_60",14.6510236232369,0.387869930277481
"marmoset","Exc FEZF2 NRP1","CS201912132_74","mouse","L2/3 IT_3","CS202002013_60",14.8522400365298,0.378561718494969
