"species_1","cluster_1","cluster_1_accession","species_2","cluster_2","cluster_2_accession","dist","similarity"
"mouse","L6b Shisa6_2","CS202002013_83","marmoset","Exc FEZF2 ARSJ","CS201912132_75",2.10024270079162,1
"mouse","L6b Shisa6_1","CS202002013_82","marmoset","Exc FEZF2 ARSJ","CS201912132_75",7.22154288342156,0.762353451061457
"mouse","L6b Ror1","CS202002013_84","marmoset","Exc FEZF2 ARSJ","CS201912132_75",7.48422158762335,0.75016422463319
"mouse","L6 CT Kit_2","CS202002013_80","marmoset","Exc FEZF2 ARSJ","CS201912132_75",7.71236991031274,0.739577330758633
"mouse","L6 CT Cpa6","CS202002013_76","marmoset","Exc FEZF2 ARSJ","CS201912132_75",8.18681478461826,0.717561400619895
"mouse","L6 CT Kit_1","CS202002013_79","marmoset","Exc FEZF2 ARSJ","CS201912132_75",8.70036851162562,0.693730680575058
"mouse","L6 CT Gpr139","CS202002013_75","marmoset","Exc FEZF2 ARSJ","CS201912132_75",8.98716986748436,0.680422077286796
"mouse","L6b Col6a1","CS202002013_81","marmoset","Exc FEZF2 ARSJ","CS201912132_75",9.10583281655802,0.674915694272992
"mouse","L6 CT Grp","CS202002013_77","marmoset","Exc FEZF2 ARSJ","CS201912132_75",9.59540247770069,0.652197920214331
"mouse","L6 CT Pou3f2","CS202002013_78","marmoset","Exc FEZF2 ARSJ","CS201912132_75",10.0956665041836,0.628983889555673
"mouse","L5/6 NP CT","CS202002013_74","marmoset","Exc FEZF2 ARSJ","CS201912132_75",12.5632140928134,0.514480902449309
"mouse","L6b Kcnip1","CS202002013_85","marmoset","Exc FEZF2 ARSJ","CS201912132_75",13.0074875700285,0.493865032478789
"mouse","L5 IT_4","CS202002013_66","marmoset","Exc FEZF2 ARSJ","CS201912132_75",14.4743444671303,0.42579765369766
"mouse","L6 IT_1","CS202002013_67","marmoset","Exc FEZF2 ARSJ","CS201912132_75",14.4761401093213,0.425714329511495
"mouse","L5 IT_1","CS202002013_63","marmoset","Exc FEZF2 ARSJ","CS201912132_75",14.5102723325501,0.424130472918704
"mouse","L6 IT_2","CS202002013_68","marmoset","Exc FEZF2 ARSJ","CS201912132_75",14.6142052751309,0.419307614612306
"mouse","L5 IT_2","CS202002013_64","marmoset","Exc FEZF2 ARSJ","CS201912132_75",14.7409579866397,0.413425837839908
"mouse","L5 IT_3","CS202002013_65","marmoset","Exc FEZF2 ARSJ","CS201912132_75",14.8563590088264,0.40807081983888
